text	label
Invoice No.	 invoice_number
Invoice Number	 invoice_number
Invoice #	 invoice_number
INV-000123	 invoice_number
INV 000124	 invoice_number
INV_2023_00125	 invoice_number
INV000126	 invoice_number
INVOICE-2023-127	 invoice_number
"Bill No.	"	 invoice_number
"Bill Number: 99812	"	 invoice_number
"Date: 2023-07-28	"	 date
"7/28/2023	"	 date
"28.07.2023	"	 date
"7/28/2023	"	 date
"Issued: 28/07/23	"	 date
"Date Issued: 28 July 2023	"	 date
"28-Jul	"	 date
"28th July 2023	"	 date
"Date 28.07.23	"	 date
"Dt: 2023/07/28	"	 date
"Total: $145.00	"	 total
"Amount Due: 145.00	"	 total
"Total Amount: 199.99	"	  total
"TOTAL DUE: $88.80	"	 total
"$123.45 	"	 total
"Total Payable: 300.50	"	 total
"Payable: 450.00	"	 total
"Balance Due: 199.00	"	 total
"Total 76.50	"	 total
"Amount: $1000.00	"	 total
"VAT 20%	"	 tax
"Tax: $25.00	"	 tax
"TAX 15%	"	 tax
"GST: 18.00	"	 tax
"VAT Amount: 30.00	"	 tax
"IVA: 12.50	"	 tax
"MwSt: 19.00	"	 tax
"TVA: 8.5	"	 tax
"KDV: 13.00	"	 tax
"Sales Tax: $22.00	"	 tax
"Chips	"	 description
"Soda	"	 description
"Service Fee	"	 description
"Graphic Design	"	 description
"Printing	"	 description
"Consulting	"	 description
"Packaging	"	 description
"Delivery Charge	"	 description
"Maintenance	"	 description
"Cloud Hosting	"	 description
"AI Model Training	"	 description
"3D Rendering	"	 description
"1	"	 quantity
"3	"	 quantity
"10	"	 quantity
"100	"	 quantity
"5	"	 quantity
"2	"	 quantity
"12	"	 quantity
"20	"	 quantity
"6	"	 quantity
"8	"	 quantity
"100	"	 unit_price
"50	"	 unit_price
"15.25	"	 unit_price
"200.99	"	 unit_price
"120	"	 unit_price
"5.5	"	 unit_price
"3.45	"	 unit_price
"80	"	 unit_price
"99.9	"	 unit_price
"1.25	"	 unit_price
"100	"	 amount
"150	"	 amount
"1000	"	 amount
"305.75	"	 amount
"22.5	"	 amount
"1.25	"	 amount
"76.8	"	 amount
"300	"	 amount
"9.99	"	 amount
"500	"	 amount
"Acme Corporation	"	 vendor_name
"XYZ GmbH	"	 vendor_name
"Globex LLC	"	 vendor_name
"Hooli Ltd.	"	 vendor_name
"Wayne Enterprises	"	 vendor_name
"Stark Industries	"	 vendor_name
"Aperture Science	"	 vendor_name
"Cyberdyne Systems	"	 vendor_name
"Sinopec Group	"	 vendor_name
